attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,selection_rate,gap,-0.005764589643456386,-0.007335361281411451,-0.004138545564996074,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,selection_rate,amplification,-0.08722554778832325,-0.11331893673105754,-0.061237060926753635,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,tpr,gap,-0.00589751778227765,-0.00786670243443984,-0.003968327168853736,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,tpr,amplification,-0.08923691901200237,-0.12055540461875254,-0.05908479276122792,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,fpr,gap,-0.006930205605684137,-0.010215045117566377,-0.0032747565583786846,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,fpr,amplification,-0.10486279468785575,-0.15559176413418385,-0.04881857174841693,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,selection_rate,signed_gap,0.005764589643456386,0.004138545564996074,0.007335361281411451,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.10871015872282308
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,tpr,signed_gap,0.00589751778227765,0.0039683271688537355,0.00786670243443984,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.09314877129678834
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a0_mb,fpr,signed_gap,0.006930205605684137,0.0032747565583786846,0.010215045117566377,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.0977183951206641
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,gap,0.03088789475651532,0.028243645579011174,0.03343055244407224,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,amplification,0.4673729973517602,0.41838402949621495,0.5202861591247971,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,gap,0.027879758824512102,0.024488198516242503,0.030992006766632448,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,amplification,0.4218560879584671,0.36543065374324635,0.47914830614282716,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,gap,0.03846070522953987,0.03347003655044032,0.04386483167766497,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,fpr,amplification,0.5819592181691474,0.5014936345206066,0.6727093190307746,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,selection_rate,signed_gap,-0.03088789475651532,-0.03343055244407224,-0.028243645579011174,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.07205767432285137
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a10_mb,tpr,signed_gap,-0.027879758824512102,-0.030992006766632448,-0.024488198516242503,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.05937149468999858
